

-0.02,0.01,9.80,0.08,0.07,0.17

0.01,0.04,9.78,-0.12,0.02,0.14

0.01,0.03,9.82,-0.19,0.11,-0.28

0.02,0.01,9.87,-0.06,-0.10,-0.34

-0.02,0.00,9.78,0.01,0.27,0.03

-0.02,-0.02,9.82,-0.01,-0.24,-0.02

0.03,-0.01,9.85,0.04,0.02,-0.02

-0.02,0.02,9.83,0.05,-0.08,-0.21


0.00,-0.01,9.83,-0.08,-0.27,-0.19

0.04,-0.01,9.75,-0.17,0.11,0.15

-0.02,-0.02,9.79,0.11,-0.05,-0.2
8

0.00,-0.01,9.83,0.02,0.10,-0.47

-0.00,0.02,9.80,-0.06,-0.12,-0.03

0.03,-0.04,9.85,0.22,-0.18,-0.03


0.01,0.02,9.81,0.11,-0.06,0.28

0.02,-0.01,9.79,-0.11,0.24,-0.19

0.01,-0.02,9.85,0.03,-0.01,0.17

-0.01,0.04,9.81,-0.27,0.03,-0.11

-0.00,-0.01,9.80,-0.01,0.05,-0.11

-0.00,0.02,9.80,0.03,-0.09,0.08

0.02,0.02,9.77,0.10,-0.04,-0.08

-0.02,-0.02,9.78,-0.07,-0.10,0.14

-0.00,-0.02,9.85,-0.05,-0.17,-0.14

0.03,0.03,9.80,-0.28,-0.20,-0.25


-0.02,0.01,9.80,-0.02,0.08,-0.01

0.02,-0.02,9.78,0.09,-0.02,0.04

0.01,0.00,9.79,0.15,0.10,-0.01

-0.01,-0.00,9.83,0.09,-0.02,-0.17

0.00,0.02,9.81,0.21,-0.21,-0.05

-0.01,-0.01,9.84,0.10,0.01,-0.14

0.02,0.03,9.77,0.02,-0.12,-0.16

0.00,-0.01,9.83,0.08,-0.20,0.36

0.02,-0.03,9.77,0.19,-0.18,0.20

-0.01,0.02,9.85,0.11,-0.11,0.04


0.01,-0.03,9.81,-0.34,-0.11,-0.10

0.01,0.00,9.76,-0.20,0.08,0.00

0.03,-0.00,9.85,0.14,-0.24,-0.07


0.01,0.01,9.81,-0.05,-0.02,-0.13

